0301-240-04	DIGITAL SYSTEMS	OZBAS,M	Open	16	15	MTR	1000AM	1050AM	09	3139	F	800A	950A	09	3280
0301-347-01	COMPUTER ARCHITECTURE	PATRU,D	Open	12	11	MTR	200P	250P	09	3139	M	400P	550P	09	3280
0301-347-02	COMPUTER ARCHITECTURE	PATRU,D	Open	12	10	MTR	200P	250P	09	3139	R	900A	1050AM	09	3280
0301-453-02	LINEAR SYSTEMS I	SABER,E	Open	24	21	TR	200P	350P	09	3170
0301-481-02	ELECTRONICS I WITH LAB	MOON,J	Open	36	33	MTRF	200P	250P	09	1139	W	900A	1150AM	09	3200
0301-481-03	ELECTRONICS I WITH LAB	MOON,J	Open	22	20	MTRF	1000AM	1050AM	09	3129	W	400P	650P	09	3100
0301-499-01	CO-OP	SLACK,G	Open	999	52	TBA	TBA	TBA	TBA	DEWITT,D
0301-499-03	COOP-BS/MS STUDENTS	SLACK,G	Open	999	8	TBA	TBA	TBA	TBA	VICARI,P
0301-514-01	CONTROL SYSTEMS DESIGN	BROWN JR,E	Open	16	9	MTRF	1000AM	1050AM	09	3259	W	1100AM	150P	09	3100
0301-514-02	CONTROL SYSTEMS DESIGN	BROWN JR,E	Open	16	6	MTRF	1000AM	1050AM	09	3259	T	500P	750P	09	3100
0301-531-02	MECHATRONICS	HOOPLE,C	Open	24	14	MTR	200P	250P	09	3259	W	200P	250P	09	3259
0301-545-02	DIGITAL ELECTRONICS	HOOPLE,C	Open	16	14	TWR	800A	850A	09	3139	F	300P	550P	09	3280
0301-585-01	ROBOTIC SYSTEMS	SAHIN,F	Open	20	3	MW	200P	350P	09	3100	T	400P	550P	09	1100
0301-590-01	UNDERGRADUATE THESIS	AMUSO,V	Open	32	0	TBA	TBA	TBA	TBA
0301-615-01	STATE SPACE CONTROL	HOPKINS,M	Open	24	10	MTWR	1200N	1250PM	09	3139
0301-630-01	BIOMED INSTRUMENTATION	PHILLIPS,D	Open	8	6	MW	200P	350P	09	3120	T	100P	350P	09	3120
0301-630-02	BIOMED INSTRUMENTATION	PHILLIPS,D	Open	8	2	MW	200P	350P	09	3120	T	1000AM	1250PM	09	3120
0301-631-01	BIOMED SENSORS & TRANS I	BORKHOLDER,D	Open	16	8	TR	800A	950A	09	3120	R	100P	350P	09	3120
0301-647-01	ARTIFICIAL INTEL EXPLORE	SAHIN,F	Open	16	10	MW	1000AM	1150AM	09	3119
0301-650-01	DESIGN OF DIGITAL SYSTEM	PESKIN,E	*Open	20	17	MW	1000AM	1150AM	09	2030	R	100P	350P	09	3280
0301-651-01	PHYSICAL IMPLEMENTATION	PATRU,D	Open	20	13	TR	1000AM	1150AM	09	3100
0301-685-01	PRINCIPLES OF ROBOTICS	SAHIN,F	Open	8	6	MTW	900A	950A	09	3119	W	1100AM	1250PM	09	1100
0301-685-02	PRINCIPLES OF ROBOTICS	SAHIN,F	Open	8	6	MTW	900A	950A	09	3119	W	300P	450P	09	1100
0301-698-01	SR DESIGN PROJECT II	SLACK,G	Open	32	31	F	900A	950A	09	2580	SMITH,M	F	1000AM	1250PM	09	2580	F	200P	450P
0301-702-70	RANDOM SIGNALS & NOISE	PHILLIPS,D	Open	36	32	MW	600P	750P	09	3149
0301-703-70	MATRIX METHODS IN EE	SABER,E	Open	36	20	TR	600P	750P	09	3149
0301-710-01	ADV ELECTROMAG THEORY	VENKATARAMAN,J	Open	20	13	TR	1000AM	1150AM	09	3119
0301-712-70	ADV FIELD EFFECT DEVICES	MOON,J	Open	24	22	TR	600P	750P	09	3139
0301-717-01	MICROWAVE CIRCUIT DESIGN	VENKATARAMAN,J	Open	24	15	TR	400P	550P	09	2149
0301-726-01	MIXED SIGNAL IC DESIGN	BOWMAN,R	Open	24	12	TR	400P	550P	17	1545
0301-732-01	ADV TOP-DIGITAL SYS DES	PESKIN,E	Open	24	12	MW	200P	350P	09	3200
0301-761-70	MODERN CONTROL THEORY	LYSHEVSKI,S	Open	24	13	MW	600P	750P	09	3139
0301-768-01	ADAPTIVE SIGNAL PROCESS	AMUSO,V	Open	24	16	MW	1000AM	1150AM	09	3170
0301-779-01	DIGITAL IMAGE PROCESSING	DIANAT,S	*Open	24	16	MW	400P	550P	09	3149
0301-780-01	INDEPENDENT STUDY	AMUSO,V	Open	16	0	TBA	TBA	TBA	TBA
0301-794-01	INFORMATION THEORY	DIANAT,S	Open	16	9	TR	400P	550P	09	1129
0301-800-01	GRADUATE PAPER	AMUSO,V	Open	16	9	TBA	TBA	TBA	TBA
0301-800-99	CONTINUATION: GRAD PAPER	AMUSO,V	Open	99	7	TBA	TBA	TBA	TBA
0301-815-01	MULTIVARIABLE MODELING	HOPKINS,M	Open	16	11	TR	400P	550P	09	3119
0301-890-01	THESIS	AMUSO,V	Open	32	12	TBA	TBA	TBA	TBA
0301-890-99	CONTINUATION OF THESIS	AMUSO,V	Open	99	4	TBA	TBA	TBA	TBA
0302-500-01	SA: INSA RENNES	ANDERSON,M	Open	2	0	TBA	TBA	TBA	TBA
0303-052-01	FYE/FRESHMAN SEMINAR II	REAFLER,R	Open	30	28	R	1200N	1250PM	09	2139
0303-415-02	ERGONOMICS	MARSHALL,M	Open	20	17	MTWR	300P	350P	09	1139	R	400P	450P	09	1570
0303-422-01	SYSTMS & FACILITIES PLAN	CARRANO,A	Open	15	12	MW	200P	250P	09	1149	T	200P	250P	70	2455	R	900A	950A	09	1550
0303-499-01	CO-OP	MOZRALL,J	Open	99	18	TBA	TBA	TBA	TBA
0303-561-01	MULTI-DISC SR DESIGN II	KAEMMERLEN,J	Open	32	7	F	900A	950A	09	2580	SMITH,M	F	1000AM	1250PM	09	2580	F	200P	250P	TBA
0303-599-01	INDEPENDENT STUDY	TBA,T	Open	10	0	TBA	TBA	TBA	TBA
0303-630-01	ADV SYSTEMS INTEGRATION	NAIR,M	*Open	32	29	MW	200P	350P	17	1545
0303-702-01	INTEGER & NONLINEAR PROG	PROANO,R	Open	24	9	MW	1000AM	1150AM	09	1139
0303-710-01	SYSTEMS SIMULATION	KUHL,M	Open	32	20	TR	200P	350P	09	1550
0303-720-01	PRODUCTION CONTROL	BORKHOLDER,R	Open	24	23	MW	400P	550P	09	1129
0303-729-01	ADV SYSTEMS INTEGRATION	NAIR,M	*Open	10	8	MW	200P	350P	17	1545
0303-731-70	ADV TOPICS ERGO/HUM FAC	MARSHALL,M	Open	32	26	MW	600P	750P	09	1129
0303-760-08	PROD/PROCESS DESIGN/DEV	SLUTSKY,J	*Open	32	22	M	400P	750P	78	2200
0303-765-01	DATA BASES-INFO SYSTEMS	NAIR,M	Open	30	20	TR	400P	550P	09	1139
0303-780-07	FOUND IN PRODUCT DEVEL	SMITH,M	Open	15	11	F	1230PM	350P	78	2130
0303-784-84	SYSTEMS & PROJECT MGMT	KOSTER,C	Open	30	12	M	500P	850P	TBA
0303-786-84	ENGINEERING OF SYSTEMS I	ESTERMAN,M	Open	15	12	TBA	TBA	TBA	OFF	SITE
0303-799-01	INDEPENDENT STUDY	MOZRALL,J	Open	10	0	TBA	TBA	TBA	TBA
0303-800-01	GRADUATE SEMINAR	KUHL,M	Open	36	12	R	100P	150P	09	1139
0303-886-01	SYSTEMS ENGINEERING	ESTERMAN,M	Open	9	4	F	1200N	350P	78	2200
0303-890-01	RESEARCH & THESIS	MOZRALL,J	Open	10	6	TBA	TBA	TBA	TBA
